分类名称,语言,自然表达,金额,币种,备注,日期规则,展开日期
水电燃气,zh,昨天交这个月电费180元,180,CNY,电费,rel:-1,2026-08-30
水电燃气,en,"Paid this month's electric bill yesterday, 180 yuan",180,CNY,Electric bill,rel:-1,2026-08-30
水电燃气,zh,水费花了45块钱,45,CNY,水费,anchor,2026-08-31
水电燃气,en,Water bill came to 45 bucks,45,CNY,Water bill,anchor,2026-08-31
水电燃气,zh,本周二燃气费充值200HKD,200,HKD,燃气费,weekday:2,2026-09-01
水电燃气,en,"Topped up gas bill this Tuesday, 200 HKD",200,HKD,Gas bill,weekday:2,2026-09-01
水电燃气,zh,水电费合计交了260元,260,CNY,水电合计,anchor,2026-08-31
水电燃气,en,"Paid water and electric together, 260 yuan",260,CNY,Water and electric,anchor,2026-08-31
水电燃气,zh,夏天开空调电费320块,320,CNY,夏天空调,anchor,2026-08-31
水电燃气,en,Summer AC electric bill 320 bucks,320,CNY,Summer AC bill,anchor,2026-08-31
水电燃气,zh,燃气热水器用气花了85元,85,CNY,燃气,anchor,2026-08-31
水电燃气,en,Gas water heater bill 85 yuan,85,CNY,Gas,anchor,2026-08-31
水电燃气,zh,8月10日商用电费交了560HKD,560,HKD,商业用电,ymd:2026-08-10,2026-08-10
水电燃气,en,"Paid commercial electric bill on Aug 10, 560 HKD",560,HKD,Commercial electric,ymd:2026-08-10,2026-08-10
水电燃气,zh,桶装水订了10桶花了120元,120,CNY,桶装水,anchor,2026-08-31
水电燃气,en,"Ordered 10 water jugs, 120 yuan",120,CNY,Bottled water,anchor,2026-08-31
水电燃气,zh,海外公寓水电费150USD,150,USD,海外水电,anchor,2026-08-31
水电燃气,en,Overseas apartment utilities 150 USD,150,USD,Overseas utilities,anchor,2026-08-31
水电燃气,zh,暖气费交了2400块,2400,CNY,暖气费,anchor,2026-08-31
水电燃气,en,Heating bill 2400 bucks,2400,CNY,Heating bill,anchor,2026-08-31
水电燃气,zh,电费充值200元,200,CNY,电费充值,anchor,2026-08-31
水电燃气,en,"Topped up electric bill, 200 yuan",200,CNY,Electric top-up,anchor,2026-08-31
水电燃气,zh,污水处理费每月15块,15,CNY,污水费,anchor,2026-08-31
水电燃气,en,Sewage treatment fee 15 bucks a month,15,CNY,Sewage fee,anchor,2026-08-31
水电燃气,zh,今天明天煤气罐换气都花120HKD,120,HKD,换煤气,"rel:0,1",2026-08-31|2026-09-01
水电燃气,en,"Gas cylinder swap today and tomorrow, 120 HKD each time",120,HKD,Gas cylinder swap,"rel:0,1",2026-08-31|2026-09-01
水电燃气,zh,阶梯电费第二档花了210元,210,CNY,阶梯电费,anchor,2026-08-31
水电燃气,en,Second-tier electric bill 210 yuan,210,CNY,Tiered electric bill,anchor,2026-08-31
水电燃气,zh,水费加污水处理费一共60块,60,CNY,水费合计,anchor,2026-08-31
水电燃气,en,Water plus sewage fee total 60 bucks,60,CNY,Water total,anchor,2026-08-31
水电燃气,zh,天然气开户费300元,300,CNY,开户费,anchor,2026-08-31
水电燃气,en,Natural gas account opening fee 300 yuan,300,CNY,Account opening fee,anchor,2026-08-31
水电燃气,zh,桶装水押金50块,50,CNY,押金,anchor,2026-08-31
水电燃气,en,Water jug deposit 50 bucks,50,CNY,Deposit,anchor,2026-08-31
水电燃气,zh,香港电费每月400HKD,400,HKD,香港电费,anchor,2026-08-31
水电燃气,en,HK electric bill 400 HKD a month,400,HKD,HK electric bill,anchor,2026-08-31
水电燃气,zh,商业用电电费800元,800,CNY,商业用电,anchor,2026-08-31
水电燃气,en,Commercial electric bill 800 yuan,800,CNY,Commercial electric,anchor,2026-08-31
水电燃气,zh,燃气报警器安装费150块,150,CNY,报警器,anchor,2026-08-31
水电燃气,en,Gas alarm install fee 150 bucks,150,CNY,Gas alarm install,anchor,2026-08-31
水电燃气,zh,插卡电表充值300元,300,CNY,电表充值,anchor,2026-08-31
水电燃气,en,Prepaid meter top-up 300 yuan,300,CNY,Meter top-up,anchor,2026-08-31
水电燃气,zh,自来水开户费200块,200,CNY,开户费,anchor,2026-08-31
水电燃气,en,Tap water account opening fee 200 bucks,200,CNY,Account opening fee,anchor,2026-08-31
水电燃气,zh,瓶装水配送每月80HKD,80,HKD,瓶装水,anchor,2026-08-31
水电燃气,en,Bottled water delivery 80 HKD a month,80,HKD,Bottled water delivery,anchor,2026-08-31
水电燃气,zh,峰谷电费合计250元,250,CNY,峰谷电价,anchor,2026-08-31
水电燃气,en,Peak-off-peak electric total 250 yuan,250,CNY,Peak-off-peak electric,anchor,2026-08-31
水电燃气,zh,燃气灶具维修费80块,80,CNY,维修,anchor,2026-08-31
水电燃气,en,Gas stove repair 80 bucks,80,CNY,Stove repair,anchor,2026-08-31
水电燃气,zh,水电费代缴手续费5元,5,CNY,代缴费,anchor,2026-08-31
水电燃气,en,Utility payment service fee 5 yuan,5,CNY,Payment service fee,anchor,2026-08-31
水电燃气,zh,工业用电电费1500块,1500,CNY,工业用电,anchor,2026-08-31
水电燃气,en,Industrial electric bill 1500 bucks,1500,CNY,Industrial electric,anchor,2026-08-31
水电燃气,zh,香港水费每月80HKD,80,HKD,香港水费,anchor,2026-08-31
水电燃气,en,HK water bill 80 HKD a month,80,HKD,HK water bill,anchor,2026-08-31
水电燃气,zh,家里电费欠费补交220元,220,CNY,欠费补交,anchor,2026-08-31
水电燃气,en,"Paid overdue electric bill, 220 yuan",220,CNY,Arrears payment,anchor,2026-08-31
水电燃气,zh,燃气胶管更换花了30块,30,CNY,胶管更换,anchor,2026-08-31
水电燃气,en,Gas hose replacement 30 bucks,30,CNY,Gas hose replacement,anchor,2026-08-31
水电燃气,zh,饮水机换水花了25元,25,CNY,换水,anchor,2026-08-31
水电燃气,en,Water dispenser refill 25 yuan,25,CNY,Water dispenser refill,anchor,2026-08-31
水电燃气,zh,电费违约金10块,10,CNY,违约金,anchor,2026-08-31
水电燃气,en,Electric late payment penalty 10 bucks,10,CNY,Late payment penalty,anchor,2026-08-31
水电燃气,zh,管道燃气初装费2500元,2500,CNY,初装费,anchor,2026-08-31
水电燃气,en,Piped gas hookup fee 2500 yuan,2500,CNY,Gas hookup fee,anchor,2026-08-31
水电燃气,zh,水电过户费50块,50,CNY,过户费,anchor,2026-08-31
水电燃气,en,Utility account transfer fee 50 bucks,50,CNY,Transfer fee,anchor,2026-08-31
水电燃气,zh,香港燃气费每月300HKD,300,HKD,香港燃气,anchor,2026-08-31
水电燃气,en,HK gas bill 300 HKD a month,300,HKD,HK gas bill,anchor,2026-08-31
水电燃气,zh,出租屋水电费每月200元,200,CNY,出租屋,anchor,2026-08-31
水电燃气,en,Rental unit utilities 200 yuan a month,200,CNY,Rental unit utilities,anchor,2026-08-31
水电燃气,zh,电热水器清洗费80块,80,CNY,清洗,anchor,2026-08-31
水电燃气,en,Water heater cleaning 80 bucks,80,CNY,Water heater cleaning,anchor,2026-08-31
水电燃气,zh,水表更换花了150元,150,CNY,换水表,anchor,2026-08-31
水电燃气,en,Water meter replacement 150 yuan,150,CNY,Water meter replacement,anchor,2026-08-31
水电燃气,zh,电表校准费50块,50,CNY,电表校准,anchor,2026-08-31
水电燃气,en,Electric meter calibration 50 bucks,50,CNY,Meter calibration,anchor,2026-08-31
水电燃气,zh,商业水费每吨5元合计120元,120,CNY,商业水费,anchor,2026-08-31
水电燃气,en,"Commercial water 5 yuan per ton, total 120 yuan",120,CNY,Commercial water,anchor,2026-08-31
水电燃气,zh,燃气保险费20元每年,20,CNY,燃气保险,anchor,2026-08-31
水电燃气,en,Gas insurance 20 yuan a year,20,CNY,Gas insurance,anchor,2026-08-31
水电燃气,zh,桶装水买十送二花了200块,200,CNY,桶装水,anchor,2026-08-31
水电燃气,en,"Bottled water buy-10-get-2 deal, 200 bucks",200,CNY,Bottled water,anchor,2026-08-31
水电燃气,zh,香港电费补贴后每月350HKD,350,HKD,补贴后,anchor,2026-08-31
水电燃气,en,"HK electric bill after subsidy, 350 HKD a month",350,HKD,After subsidy,anchor,2026-08-31
水电燃气,zh,民用电费每度0.5元合计180元,180,CNY,民用电,anchor,2026-08-31
水电燃气,en,"Residential electric 0.5 yuan per kWh, total 180 yuan",180,CNY,Residential electric,anchor,2026-08-31
水电燃气,zh,燃气表更换花了280块,280,CNY,换燃气表,anchor,2026-08-31
水电燃气,en,Gas meter replacement 280 bucks,280,CNY,Gas meter replacement,anchor,2026-08-31
水电燃气,zh,楼道灯公摊电费每月10元,10,CNY,公摊电费,anchor,2026-08-31
水电燃气,en,Shared hallway electric 10 yuan a month,10,CNY,Shared hallway electric,anchor,2026-08-31
水电燃气,zh,二次供水费每月20块,20,CNY,二次供水,anchor,2026-08-31
水电燃气,en,Secondary water supply fee 20 bucks a month,20,CNY,Secondary water supply,anchor,2026-08-31
水电燃气,zh,大功率用电增容费500元,500,CNY,增容费,anchor,2026-08-31
水电燃气,en,High-power electric upgrade fee 500 yuan,500,CNY,Power upgrade fee,anchor,2026-08-31
水电燃气,zh,水电维修上门费60块,60,CNY,上门费,anchor,2026-08-31
水电燃气,en,Utility repair service call 60 bucks,60,CNY,Service call fee,anchor,2026-08-31
水电燃气,zh,瓶装液化气一罐130元,130,CNY,液化气,anchor,2026-08-31
水电燃气,en,One LPG cylinder 130 yuan,130,CNY,LPG cylinder,anchor,2026-08-31
通讯话费,zh,昨天手机话费充值100元,100,CNY,话费充值,rel:-1,2026-08-30
通讯话费,en,"Topped up phone credit yesterday, 100 yuan",100,CNY,Phone top-up,rel:-1,2026-08-30
通讯话费,zh,交电话费花了58块,58,CNY,话费,anchor,2026-08-31
通讯话费,en,Phone bill came to 58 bucks,58,CNY,Phone bill,anchor,2026-08-31
通讯话费,zh,香港电话卡充值200HKD,200,HKD,电话卡充值,anchor,2026-08-31
通讯话费,en,"Topped up HK phone card, 200 HKD",200,HKD,SIM top-up,anchor,2026-08-31
通讯话费,zh,这一周每天流量包续费花了30元,30,CNY,流量包,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06
通讯话费,en,"Data package renewal every day this week, 30 yuan",30,CNY,Data package,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06
通讯话费,zh,国际长途话费花了120块,120,CNY,国际长途,anchor,2026-08-31
通讯话费,en,International call charges 120 bucks,120,CNY,International calls,anchor,2026-08-31
通讯话费,zh,手机号套餐扣费99元,99,CNY,套餐扣费,anchor,2026-08-31
通讯话费,en,Phone plan charge 99 yuan,99,CNY,Plan charge,anchor,2026-08-31
通讯话费,zh,电话卡月费68HKD,68,HKD,月费,anchor,2026-08-31
通讯话费,en,Phone card monthly fee 68 HKD,68,HKD,Monthly fee,anchor,2026-08-31
通讯话费,zh,漫游话费扣了45元,45,CNY,漫游,anchor,2026-08-31
通讯话费,en,Roaming charges 45 yuan,45,CNY,Roaming,anchor,2026-08-31
通讯话费,zh,今天明天海外电话卡都充值50USD,50,USD,海外电话卡,"rel:0,1",2026-08-31|2026-09-01
通讯话费,en,"Overseas SIM top-up today and tomorrow, 50 USD each",50,USD,Overseas SIM,"rel:0,1",2026-08-31|2026-09-01
通讯话费,zh,宽带绑定话费扣了129块,129,CNY,宽带绑定,anchor,2026-08-31
通讯话费,en,Broadband bundle phone charge 129 bucks,129,CNY,Broadband bundle,anchor,2026-08-31
通讯话费,zh,手机号停机保号费每月5元,5,CNY,保号费,anchor,2026-08-31
通讯话费,en,Number retention fee 5 yuan a month,5,CNY,Number retention fee,anchor,2026-08-31
通讯话费,zh,话费余额不足充值200块,200,CNY,充值,anchor,2026-08-31
通讯话费,en,"Topped up low balance, 200 bucks",200,CNY,Top-up,anchor,2026-08-31
通讯话费,zh,香港上台套餐每月128HKD,128,HKD,上台套餐,anchor,2026-08-31
通讯话费,en,HK contract plan 128 HKD a month,128,HKD,Contract plan,anchor,2026-08-31
通讯话费,zh,短信包10元100条,10,CNY,短信包,anchor,2026-08-31
通讯话费,en,SMS package 10 yuan for 100 texts,10,CNY,SMS package,anchor,2026-08-31
通讯话费,zh,本周四来电显示费每月6块,6,CNY,来电显示,weekday:4,2026-09-03
通讯话费,en,"Caller ID fee this Thursday, 6 bucks a month",6,CNY,Caller ID fee,weekday:4,2026-09-03
通讯话费,zh,异地通话费25元,25,CNY,异地通话,anchor,2026-08-31
通讯话费,en,Out-of-area call charges 25 yuan,25,CNY,Out-of-area calls,anchor,2026-08-31
通讯话费,zh,手机卡补办费20元,20,CNY,补卡,anchor,2026-08-31
通讯话费,en,SIM replacement fee 20 bucks,20,CNY,SIM replacement,anchor,2026-08-31
通讯话费,zh,香港储值卡充值100HKD,100,HKD,储值卡,anchor,2026-08-31
通讯话费,en,HK prepaid card top-up 100 HKD,100,HKD,Prepaid card,anchor,2026-08-31
通讯话费,zh,集团短号费每月10元,10,CNY,短号费,anchor,2026-08-31
通讯话费,en,Corporate short code fee 10 yuan a month,10,CNY,Short code fee,anchor,2026-08-31
通讯话费,zh,话费欠费补交80块,80,CNY,欠费补交,anchor,2026-08-31
通讯话费,en,"Paid overdue phone bill, 80 bucks",80,CNY,Arrears payment,anchor,2026-08-31
通讯话费,zh,8月9日增值业务费15元每月,15,CNY,增值业务,ymd:2026-08-09,2026-08-09
通讯话费,en,"Value-added service fee on Aug 9, 15 yuan a month",15,CNY,Value-added service,ymd:2026-08-09,2026-08-09
通讯话费,zh,国际漫游包天30元,30,CNY,国际漫游,anchor,2026-08-31
通讯话费,en,International roaming day pass 30 yuan,30,CNY,International roaming,anchor,2026-08-31
通讯话费,zh,和记电讯月费98HKD,98,HKD,月费,anchor,2026-08-31
通讯话费,en,Hutchison monthly fee 98 HKD,98,HKD,Monthly fee,anchor,2026-08-31
通讯话费,zh,亲情号业务费每月5元,5,CNY,亲情号,anchor,2026-08-31
通讯话费,en,Family number plan 5 yuan a month,5,CNY,Family number plan,anchor,2026-08-31
通讯话费,zh,话费发票打印费2块,2,CNY,打印费,anchor,2026-08-31
通讯话费,en,Phone bill receipt printing fee 2 bucks,2,CNY,Receipt printing fee,anchor,2026-08-31
通讯话费,zh,4G升级5G套餐费129元每月,129,CNY,升级套餐,anchor,2026-08-31
通讯话费,en,4G to 5G plan upgrade 129 yuan a month,129,CNY,Plan upgrade,anchor,2026-08-31
通讯话费,zh,香港手机号过户费50HKD,50,HKD,过户费,anchor,2026-08-31
通讯话费,en,HK number transfer fee 50 HKD,50,HKD,Number transfer fee,anchor,2026-08-31
通讯话费,zh,彩铃业务费每月8元,8,CNY,彩铃,anchor,2026-08-31
通讯话费,en,Ringtone service 8 yuan a month,8,CNY,Ringtone service,anchor,2026-08-31
通讯话费,zh,通话时长超出扣费30块,30,CNY,超时扣费,anchor,2026-08-31
通讯话费,en,Overtime call charge 30 bucks,30,CNY,Overtime charge,anchor,2026-08-31
通讯话费,zh,手机副卡费每月10元,10,CNY,副卡,anchor,2026-08-31
通讯话费,en,Secondary SIM fee 10 yuan a month,10,CNY,Secondary SIM,anchor,2026-08-31
通讯话费,zh,上周每天香港漫游到内地每日28HKD,28,HKD,漫游,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30
通讯话费,en,"HK roaming to mainland every day last week, 28 HKD daily",28,HKD,Roaming,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30
通讯话费,zh,话费积分兑换抵扣50元,50,CNY,积分抵扣,anchor,2026-08-31
通讯话费,en,Points redeemed for 50 yuan off bill,50,CNY,Points redemption,anchor,2026-08-31
通讯话费,zh,骚扰电话拦截费每月3元,3,CNY,拦截费,anchor,2026-08-31
通讯话费,en,Spam call blocker 3 yuan a month,3,CNY,Spam call blocker,anchor,2026-08-31
通讯话费,zh,号码靓号预存500元,500,CNY,靓号预存,anchor,2026-08-31
通讯话费,en,Vanity number deposit 500 yuan,500,CNY,Vanity number deposit,anchor,2026-08-31
通讯话费,zh,香港电话卡上台押金200HKD,200,HKD,上台押金,anchor,2026-08-31
通讯话费,en,HK contract deposit 200 HKD,200,HKD,Contract deposit,anchor,2026-08-31
通讯话费,zh,夜间通话包每月10元,10,CNY,夜间包,anchor,2026-08-31
通讯话费,en,Night call package 10 yuan a month,10,CNY,Night call package,anchor,2026-08-31
通讯话费,zh,国内通话套餐68元每月,68,CNY,通话套餐,anchor,2026-08-31
通讯话费,en,Domestic call plan 68 yuan a month,68,CNY,Call plan,anchor,2026-08-31
通讯话费,zh,香港本地通话无限量套餐88HKD,88,HKD,无限量,anchor,2026-08-31
通讯话费,en,HK unlimited local calls plan 88 HKD,88,HKD,Unlimited local calls,anchor,2026-08-31
通讯话费,zh,话费查询余额剩52元,52,CNY,查余额,anchor,2026-08-31
通讯话费,en,"Checked balance, 52 yuan left",52,CNY,Balance check,anchor,2026-08-31
通讯话费,zh,多收话费退还30块,30,CNY,退费,anchor,2026-08-31
通讯话费,en,Overcharged phone bill refund 30 bucks,30,CNY,Refund,anchor,2026-08-31
通讯话费,zh,手机卡注销结清话费45元,45,CNY,注销结清,anchor,2026-08-31
通讯话费,en,Final phone bill on account closure 45 yuan,45,CNY,Account closure,anchor,2026-08-31
通讯话费,zh,香港一卡两号月费50HKD,50,HKD,一卡两号,anchor,2026-08-31
通讯话费,en,HK dual-number plan 50 HKD a month,50,HKD,Dual-number plan,anchor,2026-08-31
通讯话费,zh,定向流量包19元每月,19,CNY,定向流量,anchor,2026-08-31
通讯话费,en,App-specific data plan 19 yuan a month,19,CNY,App-specific data,anchor,2026-08-31
通讯话费,zh,通用流量包50元20G,50,CNY,通用流量,anchor,2026-08-31
通讯话费,en,General data package 50 yuan for 20GB,50,CNY,General data package,anchor,2026-08-31
通讯话费,zh,香港数据套餐每日20HKD,20,HKD,数据套餐,anchor,2026-08-31
通讯话费,en,HK daily data plan 20 HKD,20,HKD,Data plan,anchor,2026-08-31
通讯话费,zh,话费自动扣款99元,99,CNY,自动扣款,anchor,2026-08-31
通讯话费,en,Auto phone bill payment 99 yuan,99,CNY,Auto payment,anchor,2026-08-31
通讯话费,zh,异地补卡费30块,30,CNY,异地补卡,anchor,2026-08-31
通讯话费,en,Remote SIM replacement fee 30 bucks,30,CNY,Remote SIM replacement,anchor,2026-08-31
通讯话费,zh,香港电话卡充值优惠充200送50HKD,200,HKD,充值优惠,anchor,2026-08-31
通讯话费,en,"HK phone card top-up promo, paid 200 HKD",200,HKD,Top-up promo,anchor,2026-08-31
通讯话费,zh,香港5G套餐月费168HKD,168,HKD,5G套餐,anchor,2026-08-31
通讯话费,en,HK 5G plan 168 HKD a month,168,HKD,5G plan,anchor,2026-08-31
通讯话费,zh,话费余额充值50元,50,CNY,充值,anchor,2026-08-31
通讯话费,en,"Topped up phone balance, 50 yuan",50,CNY,Top-up,anchor,2026-08-31
宽带网络,zh,宽带年费交了600元,600,CNY,年费,anchor,2026-08-31
宽带网络,en,"Paid annual broadband fee, 600 yuan",600,CNY,Annual fee,anchor,2026-08-31
宽带网络,zh,昨天月网费扣了50块,50,CNY,月费,rel:-1,2026-08-30
宽带网络,en,"Monthly internet fee deducted yesterday, 50 bucks",50,CNY,Monthly fee,rel:-1,2026-08-30
宽带网络,zh,香港光纤宽带月费128HKD,128,HKD,光纤月费,anchor,2026-08-31
宽带网络,en,HK fiber broadband monthly fee 128 HKD,128,HKD,Fiber monthly fee,anchor,2026-08-31
宽带网络,zh,宽带升级提速花了200元,200,CNY,提速,anchor,2026-08-31
宽带网络,en,Broadband speed upgrade 200 yuan,200,CNY,Speed upgrade,anchor,2026-08-31
宽带网络,zh,安装宽带初装费100块,100,CNY,初装费,anchor,2026-08-31
宽带网络,en,Broadband installation fee 100 bucks,100,CNY,Installation fee,anchor,2026-08-31
宽带网络,zh,本周一家庭千兆宽带年费960元,960,CNY,千兆年费,weekday:1,2026-08-31
宽带网络,en,"Home gigabit broadband annual fee this Monday, 960 yuan",960,CNY,Gigabit annual fee,weekday:1,2026-08-31
宽带网络,zh,商业宽带月费380HKD,380,HKD,商业宽带,anchor,2026-08-31
宽带网络,en,Business broadband monthly fee 380 HKD,380,HKD,Business broadband,anchor,2026-08-31
宽带网络,zh,路由器租赁费每月20元,20,CNY,路由器租赁,anchor,2026-08-31
宽带网络,en,Router rental 20 yuan a month,20,CNY,Router rental,anchor,2026-08-31
宽带网络,zh,海外网络费80USD,80,USD,海外网络,anchor,2026-08-31
宽带网络,en,Overseas internet fee 80 USD,80,USD,Overseas internet,anchor,2026-08-31
宽带网络,zh,宽带续约优惠后500块,500,CNY,续约,anchor,2026-08-31
宽带网络,en,"Broadband renewal after discount, 500 bucks",500,CNY,Renewal,anchor,2026-08-31
宽带网络,zh,8月3日宽带移机费80元,80,CNY,移机,ymd:2026-08-03,2026-08-03
宽带网络,en,"Broadband relocation fee on Aug 3, 80 yuan",80,CNY,Relocation,ymd:2026-08-03,2026-08-03
宽带网络,zh,光猫押金100块,100,CNY,光猫押金,anchor,2026-08-31
宽带网络,en,Modem deposit 100 bucks,100,CNY,Modem deposit,anchor,2026-08-31
宽带网络,zh,香港1000M宽带月费198HKD,198,HKD,千兆月费,anchor,2026-08-31
宽带网络,en,HK 1000M broadband monthly fee 198 HKD,198,HKD,Gigabit monthly fee,anchor,2026-08-31
宽带网络,zh,宽带测速不达标退费50元,50,CNY,退费,anchor,2026-08-31
宽带网络,en,Speed test refund 50 yuan,50,CNY,Refund,anchor,2026-08-31
宽带网络,zh,宽带安装人工费150块,150,CNY,安装费,anchor,2026-08-31
宽带网络,en,Broadband install labor fee 150 bucks,150,CNY,Installation labor,anchor,2026-08-31
宽带网络,zh,校园宽带半年280元,280,CNY,校园宽带,anchor,2026-08-31
宽带网络,en,Campus broadband half-year fee 280 yuan,280,CNY,Campus broadband,anchor,2026-08-31
宽带网络,zh,香港住宅宽带月费99HKD,99,HKD,住宅宽带,anchor,2026-08-31
宽带网络,en,HK residential broadband monthly fee 99 HKD,99,HKD,Residential broadband,anchor,2026-08-31
宽带网络,zh,宽带故障上门维修费50元,50,CNY,维修,anchor,2026-08-31
宽带网络,en,Broadband repair visit 50 yuan,50,CNY,Repair visit,anchor,2026-08-31
宽带网络,zh,宽带叠加IPTV每月30块,30,CNY,IPTV,anchor,2026-08-31
宽带网络,en,Broadband plus IPTV add-on 30 bucks a month,30,CNY,IPTV add-on,anchor,2026-08-31
宽带网络,zh,企业宽带年费5000元,5000,CNY,企业宽带,anchor,2026-08-31
宽带网络,en,Enterprise broadband annual fee 5000 yuan,5000,CNY,Enterprise broadband,anchor,2026-08-31
宽带网络,zh,宽带销户违约金80块,80,CNY,销户,anchor,2026-08-31
宽带网络,en,Broadband cancellation penalty 80 bucks,80,CNY,Cancellation fee,anchor,2026-08-31
宽带网络,zh,香港商用宽带月费480HKD,480,HKD,商用宽带,anchor,2026-08-31
宽带网络,en,HK commercial broadband monthly fee 480 HKD,480,HKD,Commercial broadband,anchor,2026-08-31
宽带网络,zh,无线宽带每月60元,60,CNY,无线宽带,anchor,2026-08-31
宽带网络,en,Wireless broadband 60 yuan a month,60,CNY,Wireless broadband,anchor,2026-08-31
宽带网络,zh,宽带套餐含话费每月129块,129,CNY,含话费,anchor,2026-08-31
宽带网络,en,Broadband plan with phone bundle 129 bucks a month,129,CNY,Phone bundle,anchor,2026-08-31
宽带网络,zh,光纤入户施工费200元,200,CNY,施工费,anchor,2026-08-31
宽带网络,en,Fiber install labor fee 200 yuan,200,CNY,Fiber install labor,anchor,2026-08-31
宽带网络,zh,宽带猫更换花了150块,150,CNY,换猫,anchor,2026-08-31
宽带网络,en,Modem replacement 150 bucks,150,CNY,Modem replacement,anchor,2026-08-31
宽带网络,zh,香港宽带续约优惠200HKD,200,HKD,续约优惠,anchor,2026-08-31
宽带网络,en,HK broadband renewal discount 200 HKD,200,HKD,Renewal discount,anchor,2026-08-31
宽带网络,zh,小区宽带包月80元,80,CNY,小区宽带,anchor,2026-08-31
宽带网络,en,Community broadband monthly fee 80 yuan,80,CNY,Community broadband,anchor,2026-08-31
宽带网络,zh,宽带流量超出扣费50块,50,CNY,超额扣费,anchor,2026-08-31
宽带网络,en,Broadband overage charge 50 bucks,50,CNY,Overage charge,anchor,2026-08-31
宽带网络,zh,专线宽带每月1000元,1000,CNY,专线,anchor,2026-08-31
宽带网络,en,Dedicated line broadband 1000 yuan a month,1000,CNY,Dedicated line,anchor,2026-08-31
宽带网络,zh,香港宽频100M月费88HKD,88,HKD,百兆月费,anchor,2026-08-31
宽带网络,en,HK 100M broadband monthly fee 88 HKD,88,HKD,100M monthly fee,anchor,2026-08-31
宽带网络,zh,宽带暂停保号费每月10元,10,CNY,保号,anchor,2026-08-31
宽带网络,en,Broadband suspension fee 10 yuan a month,10,CNY,Service suspension fee,anchor,2026-08-31
宽带网络,zh,宽带过户费30块,30,CNY,过户,anchor,2026-08-31
宽带网络,en,Broadband account transfer fee 30 bucks,30,CNY,Account transfer,anchor,2026-08-31
宽带网络,zh,家庭宽带捆绑手机号每月99元,99,CNY,捆绑套餐,anchor,2026-08-31
宽带网络,en,Home broadband phone bundle 99 yuan a month,99,CNY,Phone bundle plan,anchor,2026-08-31
宽带网络,zh,香港宽带安装费300HKD,300,HKD,安装费,anchor,2026-08-31
宽带网络,en,HK broadband installation fee 300 HKD,300,HKD,Installation fee,anchor,2026-08-31
宽带网络,zh,宽带提速到500M每月加30元,30,CNY,提速加价,anchor,2026-08-31
宽带网络,en,500M speed upgrade add-on 30 yuan a month,30,CNY,Speed upgrade add-on,anchor,2026-08-31
宽带网络,zh,宽带欠费停机补交120块,120,CNY,欠费补交,anchor,2026-08-31
宽带网络,en,"Paid overdue broadband bill, 120 bucks",120,CNY,Arrears payment,anchor,2026-08-31
宽带网络,zh,香港网上行宽带月费158HKD,158,HKD,网上行,anchor,2026-08-31
宽带网络,en,HK Netvigator broadband monthly fee 158 HKD,158,HKD,Netvigator plan,anchor,2026-08-31
宽带网络,zh,农村宽带每年480元,480,CNY,农村宽带,anchor,2026-08-31
宽带网络,en,Rural broadband annual fee 480 yuan,480,CNY,Rural broadband,anchor,2026-08-31
宽带网络,zh,宽带路由器调试费50块,50,CNY,调试费,anchor,2026-08-31
宽带网络,en,Router setup fee 50 bucks,50,CNY,Router setup fee,anchor,2026-08-31
宽带网络,zh,公寓宽带每月50元,50,CNY,公寓宽带,anchor,2026-08-31
宽带网络,en,Apartment broadband 50 yuan a month,50,CNY,Apartment broadband,anchor,2026-08-31
宽带网络,zh,香港有线宽带月费78HKD,78,HKD,有线宽带,anchor,2026-08-31
宽带网络,en,HK cable broadband monthly fee 78 HKD,78,HKD,Cable broadband,anchor,2026-08-31
宽带网络,zh,宽带年付送两个月共600元,600,CNY,年付优惠,anchor,2026-08-31
宽带网络,en,"Annual prepay with 2 free months, 600 yuan",600,CNY,Annual prepay deal,anchor,2026-08-31
宽带网络,zh,宽带光模块更换80块,80,CNY,光模块,anchor,2026-08-31
宽带网络,en,Optical module replacement 80 bucks,80,CNY,Optical module,anchor,2026-08-31
宽带网络,zh,商铺宽带每月150元,150,CNY,商铺宽带,anchor,2026-08-31
宽带网络,en,Shop broadband 150 yuan a month,150,CNY,Shop broadband,anchor,2026-08-31
宽带网络,zh,香港宽带公共天线费每月30HKD,30,HKD,公共天线,anchor,2026-08-31
宽带网络,en,HK shared antenna fee 30 HKD a month,30,HKD,Shared antenna fee,anchor,2026-08-31
宽带网络,zh,宽带客服投诉返还话费50元,50,CNY,投诉返还,anchor,2026-08-31
宽带网络,en,Broadband complaint refund 50 yuan,50,CNY,Complaint refund,anchor,2026-08-31
宽带网络,zh,宽带网线更换材料费20块,20,CNY,网线,anchor,2026-08-31
宽带网络,en,Ethernet cable replacement 20 bucks,20,CNY,Ethernet cable,anchor,2026-08-31
